diseaseId	diseaseName	diseaseType	diseaseClass	diseaseSemanticType
C4225181	MYOPATHY, SCAPULOHUMEROPERONEAL	disease		Disease or Syndrome
C4551952	Myopathy, Centronuclear, 1	disease	C05;C10	Disease or Syndrome
C0005398	Cholestasis, Extrahepatic	disease	C06	Disease or Syndrome
C0014175	Endometriosis	disease	C13	Disease or Syndrome
C0015934	Fetal Growth Retardation	phenotype	C23;C16;C13	Disease or Syndrome
C0017668	Focal glomerulosclerosis	disease	C13;C12	Disease or Syndrome
C0019189	Hepatitis, Chronic	disease	C06	Disease or Syndrome
C0022116	Ischemia	phenotype	C23	Pathologic Function
C0022658	Kidney Diseases	group	C13;C12	Disease or Syndrome
C0023895	Liver diseases	group	C06	Disease or Syndrome
C0026654	Moyamoya Disease	disease	C10;C14	Disease or Syndrome
C0027051	Myocardial Infarction	disease	C23;C14	Disease or Syndrome
C0027719	Nephrosclerosis	disease	C13;C12	Disease or Syndrome
C0036421	Systemic Scleroderma	disease	C17	Disease or Syndrome
C0041956	Ureteral obstruction	phenotype	C13;C12	Disease or Syndrome
C0086432	Hyalinosis, Segmental Glomerular	disease	C13;C12	Disease or Syndrome
C0086565	Liver Dysfunction	phenotype	C06	Finding
C0149519	Chronic Persistent Hepatitis	disease	C06	Disease or Syndrome
C0162872	Aortic Aneurysm, Thoracic	disease	C14	Disease or Syndrome
C0269102	Endometrioma	disease	C13	Neoplastic Process
C0340630	Aortic Aneurysm, Thoracoabdominal	disease	C14	Disease or Syndrome
C0520463	Chronic active hepatitis	disease	C06	Disease or Syndrome
C0524611	Cryptogenic Chronic Hepatitis	disease	C06	Disease or Syndrome
C1619692	Nephrogenic Fibrosing Dermopathy	disease	C23;C17	Disease or Syndrome
C1876165	Copper-Overload Cirrhosis	disease	C16;C06;C18;C10	Disease or Syndrome
C2673186	Aortic Aneurysm, Familial Thoracic 6	disease	C23;C17;C14	Disease or Syndrome
C2931384	Moyamoya disease 1	disease	C10;C14	Disease or Syndrome
C3151201	MULTISYSTEMIC SMOOTH MUSCLE DYSFUNCTION SYNDROME	disease		Disease or Syndrome
C3279690	MOYAMOYA DISEASE 5	disease		Disease or Syndrome
C4707243	Familial thoracic aortic aneurysm and aortic dissection	disease		Disease or Syndrome
C0005818	Blood Platelet Disorders	group	C15	Disease or Syndrome
C0007097	Carcinoma	group	C04	Neoplastic Process
C0009363	Congenital ocular coloboma (disorder)	disease	C16;C11	Congenital Abnormality
C0013393	Dysostoses	disease	C05	Disease or Syndrome
C0013421	Dystonia	phenotype	C23;C10	Sign or Symptom
C0018784	Sensorineural Hearing Loss (disorder)	disease	C23;C10;C09	Disease or Syndrome
C0024667	Animal Mammary Neoplasms	phenotype	C04;C22	Neoplastic Process
C0024668	Mammary Neoplasms, Experimental	phenotype	C04	Neoplastic Process; Experimental Model of Disease
C0151744	Myocardial Ischemia	disease	C14	Disease or Syndrome
C0205696	Anaplastic carcinoma	disease	C04	Neoplastic Process
C0205697	Carcinoma, Spindle-Cell	disease	C04	Neoplastic Process
C0205698	Undifferentiated carcinoma	disease	C04	Neoplastic Process
C0205699	Carcinomatosis	phenotype	C04	Neoplastic Process
C0263579	Pigmented hairy epidermal nevus	disease	C16;C04;C17;C10	Neoplastic Process
C0265541	Cranioschisis	disease	C16;C10	Congenital Abnormality
C0272183	Qualitative abnormality of granulocyte	disease	C15	Disease or Syndrome
C0376634	Craniofacial Abnormalities	group	C16;C05	Congenital Abnormality
C0393588	Dystonia, Paroxysmal	phenotype	C23;C10	Sign or Symptom
C0393610	Dystonia, Diurnal	phenotype	C23;C10	Sign or Symptom
C0497552	Congenital neurologic anomalies	group	C16;C10	Congenital Abnormality
C0751093	Dystonia, Limb	phenotype	C23;C10	Sign or Symptom
C1257925	Mammary Carcinoma, Animal	disease	C04;C22	Neoplastic Process
C1691779	Sensory hearing loss	disease	C23;C10;C09	Disease or Syndrome
C1846331	Juvenile-onset dystonia	disease	C10	Disease or Syndrome
C1853623	Fryns-Aftimos Syndrome	disease	C23;C16;C05;C10;F03;F01	Disease or Syndrome
C1855722	Iris Coloboma with Ptosis, Hypertelorism, and Mental Retardation	disease	C23;C16;C11;C10;F03;F01	Disease or Syndrome
C1858042	Becker Nevus Syndrome	disease	C04;C17	Disease or Syndrome
C4554007	Uveoretinal Coloboma	disease	C16;C11	Congenital Abnormality
C0024623	Malignant neoplasm of stomach	disease	C06;C04	Neoplastic Process
C0034951	Refractive Errors	group	C11	Disease or Syndrome
C0038356	Stomach Neoplasms	group	C06;C04	Neoplastic Process
C0340427	Familial dilated cardiomyopathy	disease	C14	Disease or Syndrome
C0344724	Ostium secundum atrial septal defect	disease	C16;C14	Congenital Abnormality
C0878544	Cardiomyopathies	group	C14	Disease or Syndrome
C1449563	Cardiomyopathy, Familial Idiopathic	disease	C14	Disease or Syndrome
C1527310	Ametropia	disease	C11	Disease or Syndrome
C1708349	Hereditary Diffuse Gastric Cancer	disease	C06;C04	Neoplastic Process
C1960469	Left ventricular noncompaction	disease	C14	Disease or Syndrome
C2677506	Cardiomyopathy, Familial Hypertrophic, 11	disease	C16;C14	Disease or Syndrome
C2748552	Atrial Septal Defect 5	disease	C16;C14	Disease or Syndrome; Congenital Abnormality
C3150681	CARDIOMYOPATHY, DILATED, 1R	disease		Disease or Syndrome
C3150682	LEFT VENTRICULAR NONCOMPACTION 4	disease		Disease or Syndrome
C4021133	Left ventricular noncompaction cardiomyopathy	disease	C23	Disease or Syndrome
C0001787	Osteoporosis, Age-Related	disease	C18;C05	Disease or Syndrome
C0005745	Blepharoptosis	disease	C11	Disease or Syndrome
C0007621	Neoplastic Cell Transformation	phenotype	C23;C04	Neoplastic Process
C0014544	Epilepsy	disease	C10	Disease or Syndrome
C0024433	Macrostomia	disease	C16;C07	Congenital Abnormality
C0029456	Osteoporosis	disease	C18;C05	Disease or Syndrome
C0029459	Osteoporosis, Senile	disease	C18;C05	Disease or Syndrome
C0033377	Ptosis	disease	C23	Disease or Syndrome
C0240583	Short upturned nose	phenotype		Finding
C0266551	Congenital coloboma of iris	disease	C16;C11	Congenital Abnormality
C0751406	Post-Traumatic Osteoporosis	disease	C18;C05	Disease or Syndrome
C0857379	Abnormality of the pinna	phenotype		Finding
C0948089	Acute Coronary Syndrome	disease	C14	Disease or Syndrome
C1384666	hearing impairment	phenotype	C23;C10;C09	Disease or Syndrome
C1843156	Progressive sensorineural hearing impairment	disease	C23;C10;C09	Disease or Syndrome
C1844505	Pointed chin	phenotype		Finding
C1849340	Long palpebral fissure	phenotype		Finding
C1858172	Deafness, Autosomal Dominant 20	disease	C23;C10;C09	Disease or Syndrome
C1865014	Long philtrum	phenotype		Finding
C1865017	Thin upper lip vermilion	phenotype		Finding
C1868571	Highly arched eyebrow	phenotype		Finding
C1970280	Hearing loss begins with loss of high frequencies	phenotype		Finding
C1970281	Audiogram shows sloping configuration	phenotype		Finding
C1970282	Deafness, profound, by 6th decade	phenotype		Finding
C3279369	Microphthalmia (in some patients)	phenotype		Finding
C3281235	BARAITSER-WINTER SYNDROME 2	disease		Disease or Syndrome
C3549665	Deafness (in some patients)	phenotype		Finding
C3711374	Nonsyndromic Deafness	disease	C23;C10;C09	Disease or Syndrome
C3808883	Short neck (in some patients)	phenotype		Finding
C4012410	Enlarged ventricles (in some patients)	phenotype		Finding
C4229649	Heart defect (in some patients)	phenotype		Finding
C4229650	Pterygium colli (in some patients)	phenotype		Finding
C4229651	Hypertelorism/telecanthus	phenotype		Finding
C4229652	Eye coloboma (in some patients)	phenotype		Finding
C4229653	Trigonocephaly/metopic ridge	phenotype		Finding
C4231117	Pectus (in some patients)	phenotype		Finding
C4231118	Kyphosis/scoliosis (in some patients)	phenotype		Finding
C4231120	Prominent nasal root on profile	phenotype		Finding
C4231121	Large, squared nose tip	phenotype		Finding
C4231123	Retrognathia (in some patients)	phenotype		Finding
C4231124	Prominent/full/wide cheeks	phenotype		Finding
C4708599	Coloboma of choroid and retina	disease		Congenital Abnormality
C0042781	Visceral Myopathy	disease	C06	Disease or Syndrome
C0266833	Visceral Myopathy, Familial	disease	C06	Disease or Syndrome
C1608393	Megacystis microcolon intestinal hypoperistalsis syndrome	disease	C16;C06	Disease or Syndrome
C1835084	Megaduodenum and-or Megacystis	disease	C06	Disease or Syndrome
C1868672	NEPHROTIC SYNDROME, STEROID-RESISTANT, AUTOSOMAL RECESSIVE	disease	C13;C12	Disease or Syndrome
C4551527	Focal segmental glomerulosclerosis 1	disease	C13;C12	Disease or Syndrome
C3714756	Intellectual Disability	group	C23;C10;F03;F01	Mental or Behavioral Dysfunction
C2751260	Macrothrombocytopenia	disease	C15	Disease or Syndrome
C3554663	BLEEDING DISORDER, PLATELET-TYPE, 15	disease		Disease or Syndrome
C4304021	Autosomal dominant macrothrombocytopenia	disease	C16	Disease or Syndrome
C2677338	Cardiomyopathy, Dilated, 1AA	disease	C14	Disease or Syndrome
C0004114	Astrocytoma	disease	C04	Neoplastic Process
C0009782	Connective Tissue Diseases	group	C17	Disease or Syndrome
C0016037	Fibrodysplasia Ossificans Progressiva	disease	C05	Disease or Syndrome
C0017638	Glioma	disease	C04	Neoplastic Process
C0027122	Myositis Ossificans	disease	C05	Disease or Syndrome
C0085576	Iron-Refractory Iron Deficiency Anemia	disease	C18;C15	Disease or Syndrome
C0205768	Subependymal Giant Cell Astrocytoma	disease	C04	Neoplastic Process
C0242488	Acute Lung Injury	disease	C08	Injury or Poisoning
C0259783	mixed gliomas	disease	C04	Neoplastic Process
C0280783	Juvenile Pilocytic Astrocytoma	disease	C04	Neoplastic Process
C0280785	Diffuse Astrocytoma	disease	C04	Neoplastic Process
C0334579	Anaplastic astrocytoma	disease	C04	Neoplastic Process
C0334580	Protoplasmic astrocytoma	disease	C04	Neoplastic Process
C0334581	Gemistocytic astrocytoma	disease	C04	Neoplastic Process
C0334582	Fibrillary Astrocytoma	disease	C04	Neoplastic Process
C0334583	Pilocytic Astrocytoma	disease	C04	Neoplastic Process
C0338070	Childhood Cerebral Astrocytoma	disease	C04	Neoplastic Process
C0547065	Mixed oligoastrocytoma	disease	C04	Neoplastic Process
C0555198	Malignant Glioma	disease	C04	Neoplastic Process
C0750935	Cerebral Astrocytoma	disease	C04	Neoplastic Process
C0750936	Intracranial Astrocytoma	disease	C04	Neoplastic Process
C1704230	Grade I Astrocytoma	disease	C04	Neoplastic Process
C0278701	Gastric Adenocarcinoma	disease	C06;C04	Neoplastic Process
C0920269	Microsatellite Instability	phenotype	C23	Cell or Molecular Dysfunction
C1721098	Replication Error Phenotype	phenotype	C23	Cell or Molecular Dysfunction
C0037221	Situs Inversus	disease	C16	Congenital Abnormality
C0175707	Asplenia Syndrome	disease	C16;C15;C14	Disease or Syndrome
C0265357	Polysplenia Syndrome	disease	C16;C15;C14	Congenital Abnormality
C0266642	Situs ambiguus	disease	C16;C15;C14	Congenital Abnormality
C1167664	Situs ambiguous	disease		Congenital Abnormality
C3151057	HETEROTAXY, VISCERAL, 4, AUTOSOMAL	disease		Disease or Syndrome
C3178805	Heterotaxy Syndrome	disease	C16;C15;C14	Disease or Syndrome
C3178806	Right Atrial Isomerism	disease	C16;C15;C14	Congenital Abnormality
C3178807	Left Atrial Isomerism	disease	C16;C15;C14	Congenital Abnormality
C4277690	Ciliopathies	disease	C16	Congenital Abnormality
C0005779	Blood Coagulation Disorders	group	C15	Disease or Syndrome
C0014591	Epistaxis	phenotype	C23;C08;C09	Pathologic Function
C0039445	Hereditary hemorrhagic telangiectasia	disease	C16;C15;C14	Disease or Syndrome
C0039446	Telangiectasis	disease	C14	Finding
C0155675	Pulmonary Arteriovenous Fistulas	disease	C23;C16;C14	Disease or Syndrome
C0241790	Congenital pulmonary arteriovenous malformation	disease	C08	Congenital Abnormality
C0340543	Familial primary pulmonary hypertension	disease	C08	Disease or Syndrome
C0520557	Arteriovenous malformation of liver	disease	C16;C14	Congenital Abnormality
C1150929	2-oxo-hept-3-ene-1,7-dioate hydratase activity	phenotype		Molecular Function
C1458140	Bleeding tendency	phenotype	C15	Pathologic Function
C1701939	Familial pulmonary arterial hypertension	disease		Disease or Syndrome
C1832529	HEREDITARY HEMORRHAGIC TELANGIECTASIA-RELATED PULMONARY ARTERIAL HYPERTENSION	disease	C08;C14	Disease or Syndrome
C1838163	OSLER-RENDU-WEBER SYNDROME 2	disease	C16;C15;C14	Disease or Syndrome
C1857690	Pulmonary arteriovenous malformation	disease	C16;C14	Anatomical Abnormality
C2973725	Pulmonary arterial hypertension	disease	C08;C14	Disease or Syndrome
C3203102	Idiopathic pulmonary arterial hypertension	disease	C08	Disease or Syndrome
C3850148	Vascular Remodeling	phenotype	C23	Organ or Tissue Function
C3852953	Pulmonary Arterial Remodeling	phenotype	C23	Organ or Tissue Function
C4551861	Telangiectasia, Hereditary Hemorrhagic, Type 1	disease	C16;C15;C14	Disease or Syndrome
C1835922	Aminoacylase 1 deficiency	disease	C16;C18	Disease or Syndrome
C2750088	HEARING LOSS, CISPLATIN-INDUCED, SUSCEPTIBILITY TO	disease		Finding
C0020452	Hyperemia	disease	C14	Disease or Syndrome
C0037928	Spinal Cord Diseases	group	C10	Disease or Syndrome
C0042484	Venous Engorgement	phenotype	C14	Pathologic Function
C0085110	Severe Combined Immunodeficiency	disease	C16;C18;C20	Disease or Syndrome
C0178824	Reactive Hyperemia	phenotype	C14	Pathologic Function
C0220744	Multiple gastrointestinal atresias (disorder)	disease	C16;C06	Congenital Abnormality
C0268124	Adenosine deaminase deficiency	disease	C16;C18;C20	Disease or Syndrome
C0333233	Active Hyperemia	phenotype	C14	Pathologic Function
C0392607	Severe combined immunodeficiency due to adenosine deaminase deficiency	disease	C16;C18;C20;C15	Disease or Syndrome
C0700216	Structural Clinical Interview for DSM-III	phenotype		Diagnostic Procedure
C1863236	SCID Due to ADA Deficiency, Early-Onset	disease		Disease or Syndrome
C1863239	Partial adenosine deaminase deficiency	disease	C16;C18;C20;C15	Disease or Syndrome
C2700553	Omenn Syndrome	disease	C16;C18;C20	Disease or Syndrome
C0406811	Reticulate acropigmentation of Kitamura	disease	C16;C17	Disease or Syndrome
C1321872	Stage IV Skin Melanoma	disease	C04;C17	Neoplastic Process
C3714534	dowling-degos disease	disease	C16;C17	Disease or Syndrome
C3810041	ALZHEIMER DISEASE 18	disease		Disease or Syndrome
C4552092	Dowling-Degos disease 1	disease	C16;C17	Disease or Syndrome
C0393591	AICARDI-GOUTIERES SYNDROME	disease	C16;C20;C10	Disease or Syndrome
C0406775	Symmetrical dyschromatosis of extremities	disease	C23;C17	Congenital Abnormality
C0795996	STRIATONIGRAL DEGENERATION, INFANTILE (disorder)	disease	C10	Disease or Syndrome
C0796126	AICARDI-GOUTIERES SYNDROME 1	disease	C16;C20;C10	Disease or Syndrome
C3489724	Aicardi-Goutieres Syndrome 2	disease	C16;C20;C10	Disease or Syndrome
C3489725	Pseudo-TORCH syndrome	disease	C16;C20;C10	Disease or Syndrome
C3539013	AICARDI-GOUTIERES SYNDROME 6	disease		Disease or Syndrome
C0032460	Polycystic Ovary Syndrome	disease	C04;C13;C19	Disease or Syndrome
C0033975	Psychotic Disorders	group	F03	Mental or Behavioral Dysfunction
C1136382	Sclerocystic Ovaries	disease	C04;C13;C19	Disease or Syndrome
C0013146	Drug abuse	group	C25;F03	Mental or Behavioral Dysfunction
C0013170	Drug habituation	phenotype	C25;F03	Mental or Behavioral Dysfunction
C0013222	Drug Use Disorders	group	C25;F03	Mental or Behavioral Dysfunction
C0029231	Organic Mental Disorders, Substance-Induced	disease	C25;F03	Mental or Behavioral Dysfunction
C0030567	Parkinson Disease	disease	C10	Disease or Syndrome
C0038580	Substance Dependence	disease	C25;F03	Mental or Behavioral Dysfunction
C0038586	Substance Use Disorders	group	C25;F03	Mental or Behavioral Dysfunction
C0236969	Substance-Related Disorders	group	C25;F03	Mental or Behavioral Dysfunction
C0740858	Substance abuse problem	disease	C25;F03	Mental or Behavioral Dysfunction
C1510472	Drug Dependence	group	C25;F03	Mental or Behavioral Dysfunction
C4316881	Prescription Drug Abuse	phenotype	C25;F03	Finding
C0038587	Substance Withdrawal Syndrome	disease	C25;F03	Mental or Behavioral Dysfunction
C0086189	Drug Withdrawal Symptoms	phenotype	C25;F03	Sign or Symptom
C0087169	Withdrawal Symptoms	phenotype	C25;F03	Sign or Symptom
C0149925	Small cell carcinoma of lung	disease	C04;C08	Neoplastic Process
C0751217	Hyperkinesia, Generalized	phenotype	C23;C10	Sign or Symptom
C1846647	DEAFNESS, AUTOSOMAL RECESSIVE (disorder)	disease	C23;C10;C09	Disease or Syndrome
C1857809	DEAFNESS, AUTOSOMAL RECESSIVE 44	disease	C23;C10;C09	Disease or Syndrome
C3887506	Hyperkinesia	phenotype	C23;C10	Disease or Syndrome
C0004096	Asthma	disease	C08;C20	Disease or Syndrome
C0024713	Manic Disorder	disease	F03	Mental or Behavioral Dysfunction
C0338831	Manic	disease	F03	Mental or Behavioral Dysfunction
C0011875	Diabetic Angiopathies	disease	C19;C14	Disease or Syndrome
C0025945	Microangiopathy, Diabetic	disease	C19;C14	Disease or Syndrome
C0028756	Obesity, Morbid	disease	C23;C18	Disease or Syndrome
C0005612	Birth Weight	phenotype	C23	Organism Attribute
C0011860	Diabetes Mellitus, Non-Insulin-Dependent	disease	C18;C19	Disease or Syndrome
C0016059	Fibrosis	phenotype	C23	Pathologic Function
C0033141	Cardiomyopathies, Primary	group	C14	Disease or Syndrome
C0036529	Myocardial Diseases, Secondary	group	C14	Disease or Syndrome
C0242698	Ventricular Dysfunction, Left	phenotype	C14	Pathologic Function
C0393584	Benign Hereditary Chorea	disease	C23;C10	Disease or Syndrome
C1535926	Neurodevelopmental Disorders	group	F03	Mental or Behavioral Dysfunction
C1623038	Cirrhosis	disease	C23	Disease or Syndrome
C1847627	Dyskinesia, Familial, with Facial Myokymia	disease	C23;C10	Disease or Syndrome
C1859098	Chorea, Benign Familial	disease	C23;C10	Disease or Syndrome
C4225385	LETHAL CONGENITAL CONTRACTURE SYNDROME 8	disease		Disease or Syndrome
C0009324	Ulcerative Colitis	disease	C06	Disease or Syndrome
C0023467	Leukemia, Myelocytic, Acute	disease	C04	Neoplastic Process
C0026998	Acute Myeloid Leukemia, M1	disease	C04	Neoplastic Process
C1879321	Acute Myeloid Leukemia (AML-M2)	disease	C04	Neoplastic Process
C0026205	Miosis disorder	disease	C23;C11;C10	Disease or Syndrome
C0149504	Encephalopathy, Toxic	disease	C10;C25	Injury or Poisoning
C0154659	Toxic Encephalitis	disease	C10;C25	Injury or Poisoning
C0235032	Neurotoxicity Syndromes	group	C10;C25	Injury or Poisoning
C0268849	Overactive Detrusor	phenotype	C23;C13;C12	Disease or Syndrome
C0279626	Squamous cell carcinoma of esophagus	disease	C06;C04	Neoplastic Process
C0392156	Akathisia	phenotype	C23;C10;F01	Sign or Symptom
C0878773	Overactive Bladder	disease	C23;C13;C12	Disease or Syndrome
C3887612	Psychomotor Agitation	phenotype	C23;C10;F01	Finding
C0085580	Essential Hypertension	disease	C14	Disease or Syndrome
C2751938	Cerebral Palsy, Spastic Quadriplegic, 1	disease	C10	Disease or Syndrome
C4310767	CEREBRAL PALSY, SPASTIC QUADRIPLEGIC, 3	disease		Disease or Syndrome
C0015695	Fatty Liver	disease	C06	Disease or Syndrome
C2711227	Steatohepatitis	disease	C06	Disease or Syndrome
C0400966	Non-alcoholic Fatty Liver Disease	disease	C06	Disease or Syndrome
C3241937	Nonalcoholic Steatohepatitis	disease	C06	Disease or Syndrome
C0001956	Alcohol Use Disorder	disease	C25;F03	Mental or Behavioral Dysfunction
C0001969	Alcoholic Intoxication	disease	C25;F03	Mental or Behavioral Dysfunction
C0007107	Malignant neoplasm of larynx	disease	C04;C08;C09	Neoplastic Process
C0007785	Cerebral Infarction	disease	C23;C10;C14	Disease or Syndrome
